Name	Nationality	Club	SprintSpeed	Agility	Reactions	Balance	ShotPower	Jumping	Stamina	Strength	LongShots	Aggression	Interceptions	Positioning	Vision	Penalties	Composure	Marking	StandingTackle	SlidingTackle
L. Messi	Argentina	FC Barcelona	86	91	95	95	85	68	72	59	94	48	22	94	94	75	96	33	28	26
Cristiano Ronaldo	Portugal	Juventus	91	87	96	70	95	95	88	79	93	63	29	95	82	85	95	28	31	23
Neymar Jr	Brazil	Paris Saint-Germain	90	96	94	84	80	61	81	49	82	56	36	89	87	81	94	27	24	33
K. De Bruyne	Belgium	Manchester City	76	79	91	77	91	63	90	75	91	76	61	87	94	79	88	68	58	51
E. Hazard	Belgium	Chelsea	88	95	90	94	82	56	83	66	80	54	41	87	89	86	91	34	27	22
L. Modrić	Croatia	Real Madrid	72	93	90	94	79	68	89	58	82	62	83	79	92	82	84	60	76	73
L. Suárez	Uruguay	FC Barcelona	75	82	92	83	86	69	90	83	85	87	41	92	84	85	85	62	45	38
Sergio Ramos	Spain	Real Madrid	75	78	85	66	79	93	84	83	59	88	90	60	63	75	82	87	92	91
R. Lewandowski	Poland	FC Bayern München	78	78	90	78	88	84	78	84	84	80	39	91	77	88	86	34	42	19
T. Kroos	Germany	Real Madrid	62	70	89	71	87	30	75	73	92	60	82	79	86	73	85	72	79	69
